Timestamp,Component,Data
16.798309930735808,DEADLINE_MISS,Emergency response: 0.605s
17.14164285479569,flow_rate,0.8986914388054832
17.658857668620342,temperature,82.81956611068871
17.658857668620342,CoolantValve,CLOSE
18.109775265461842,pressure,99.0494373501533
18.109775265461842,pressure,control: 0.868s
18.109775265461842,DEADLINE_MISS,Pressure control: 0.868s
18.109775265461842,DEADLINE_MISS,Emergency response: 0.868s
18.600876133564345,flow_rate,0.8673663675088684
18.89885125743589,temperature,76.12466238204854
18.89885125743589,CoolantValve,OPEN
19.094560245272604,pressure,104.62988983796083
19.094560245272604,EMERGENCY_SHUTDOWN,Activated
19.094560245272604,pressure,control: 0.394s
19.094560245272604,DEADLINE_MISS,Pressure control: 0.394s
19.094560245272604,DEADLINE_MISS,Emergency response: 0.394s
19.584832224167553,flow_rate,0.8265158196667565
