Timestamp,Component,Data
15.026806152676599,DEADLINE_MISS,Pressure control: 0.609s
15.026806152676599,DEADLINE_MISS,Emergency response: 0.609s
15.30017208222172,flow_rate,0.9012544947694563
15.83116239705402,temperature,84.01866430153655
15.83116239705402,CoolantValve,CLOSE
15.973890517515343,pressure,101.70631950545518
15.973890517515343,EMERGENCY_SHUTDOWN,Activated
15.973890517515343,pressure,control: 0.574s
15.973890517515343,DEADLINE_MISS,Pressure control: 0.574s
15.973890517515343,DEADLINE_MISS,Emergency response: 0.574s
16.17171828133131,flow_rate,0.8671215632350922
16.622737234616235,temperature,81.78871577101894
16.622737234616235,CoolantValve,CLOSE
16.96626930841606,pressure,101.34649699432994
16.96626930841606,EMERGENCY_SHUTDOWN,Activated
16.96626930841606,pressure,control: 0.695s
